energy_lower_eV,energy_upper_eV,probability_mass,digitized_curve_height_px,source_pdf_sha256,source_pdf_page,source_figure
0.00,0.25,0.0282838174177,242.62,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
0.25,0.50,0.0314605300739,269.87,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
0.50,0.75,0.0353559375383,303.285,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
0.75,1.00,0.0396016577194,339.705,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
1.00,1.25,0.0430616515409,369.385,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
1.25,1.50,0.0449385349817,385.485,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
1.50,1.75,0.0459410938383,394.085,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
1.75,2.00,0.0458583244444,393.375,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
2.00,2.25,0.0451058224188,386.92,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
2.25,2.50,0.0443783843647,380.68,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
2.50,2.75,0.0429328343854,368.28,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
2.75,3.00,0.0413543870693,354.74,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
3.00,3.25,0.0393393603441,337.455,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
3.25,3.50,0.0374135147265,320.935,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
3.50,3.75,0.0351775753231,301.755,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
3.75,4.00,0.0331666287793,284.505,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
4.00,4.25,0.0309178659486,265.215,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
4.25,4.50,0.0289337320253,248.195,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
4.50,4.75,0.0269991431619,231.6,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
4.75,5.00,0.025111767826,215.41,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
5.00,5.25,0.0231824249101,198.86,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
5.25,5.50,0.0214442676366,183.95,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
5.50,5.75,0.0199882257623,171.46,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
5.75,6.00,0.018387046007,157.725,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
6.00,6.25,0.0168703842948,144.715,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
6.25,6.50,0.0154947802822,132.915,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
6.50,6.75,0.0142345871148,122.105,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
6.75,7.00,0.0130105326968,111.605,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
7.00,7.25,0.0119321990429,102.355,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
7.25,7.50,0.0109308059524,93.765,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
7.50,7.75,0.0100273372153,86.015,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
7.75,8.00,0.00916583605831,78.625,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
8.00,8.25,0.00839176735971,71.985,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
8.25,8.50,0.00758155991163,65.035,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
8.50,8.75,0.00699459667407,60,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
8.75,9.00,0.00638839829565,54.8,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
9.00,9.25,0.00578219991723,49.6,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
9.25,9.50,0.00517192135742,44.365,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
9.50,9.75,0.00469978608192,40.315,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
9.75,10.00,0.00413264086826,35.45,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
10.00,10.25,0.00360513170243,30.925,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
10.25,10.50,0.00320760545812,27.515,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
10.50,10.75,0.00289692878918,24.85,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
10.75,11.00,0.00264454042585,22.685,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
11.00,11.25,0.00238807188114,20.485,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
11.25,11.50,0.00222195021013,19.06,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
11.50,11.75,0.00203542763215,17.46,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
11.75,12.00,0.00185648253391,15.925,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
12.00,12.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
12.25,12.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
12.50,12.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
12.75,13.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
13.00,13.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
13.25,13.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
13.50,13.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
13.75,14.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
14.00,14.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
14.25,14.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
14.50,14.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
14.75,15.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
15.00,15.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
15.25,15.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
15.50,15.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
15.75,16.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
16.00,16.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
16.25,16.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
16.50,16.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
16.75,17.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
17.00,17.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
17.25,17.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
17.50,17.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
17.75,18.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
18.00,18.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
18.25,18.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
18.50,18.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
18.75,19.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
19.00,19.25,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
19.25,19.50,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
19.50,19.75,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
19.75,20.00,0,0,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(b)
