source_figure,condition_family,c4f8_fraction,pulse_off_ms,electron_density_m3,electron_pixel_y,electron_axis_transform,electron_axis_slope_per_pixel,electron_axis_intercept,electron_digitization_uncertainty_m3,self_bias_magnitude_v,self_bias_pixel_y,self_bias_axis_slope_v_per_pixel,self_bias_axis_intercept_v,self_bias_digitization_uncertainty_v,published_errorbar_semantics,evidence_type,role,source_location
3b,gas_fraction_cw,0.2,0,3.40341e15,78,log10,-0.02127659574468085,17.19148936170213,4e14,922.0,65,-4.964539007092198,1244.6808510638298,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 3b
3b,gas_fraction_cw,0.4,0,2.53662e15,84,log10,-0.02127659574468085,17.19148936170213,4e14,907.1,68,-4.964539007092198,1244.6808510638298,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 3b
3b,gas_fraction_cw,0.6,0,2.41534e15,85,log10,-0.02127659574468085,17.19148936170213,4e14,892.2,71,-4.964539007092198,1244.6808510638298,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 3b
3b,gas_fraction_cw,0.8,0,2.41534e15,85,log10,-0.02127659574468085,17.19148936170213,4e14,892.2,71,-4.964539007092198,1244.6808510638298,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 3b
6b,pulse_off_20pct,0.2,0,3.25806e15,81,linear,-4.032258064516129e13,6.524193548387097e15,4e14,924.1,67,-5.109489051094891,1266.4233576642337,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 6b
6b,pulse_off_20pct,0.2,0.1,3.05645e15,86,linear,-4.032258064516129e13,6.524193548387097e15,4e14,924.1,67,-5.109489051094891,1266.4233576642337,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 6b
6b,pulse_off_20pct,0.2,0.5,2.77419e15,93,linear,-4.032258064516129e13,6.524193548387097e15,4e14,888.3,74,-5.109489051094891,1266.4233576642337,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 6b
6b,pulse_off_20pct,0.2,1,2.53226e15,99,linear,-4.032258064516129e13,6.524193548387097e15,4e14,847.4,82,-5.109489051094891,1266.4233576642337,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 6b
8b,pulse_off_80pct,0.8,0,2.34921e15,101,linear,-3.968253968253968e13,6.357142857142857e15,4e14,886.0,70,-5.147058823529412,1246.3235294117646,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 8b
8b,pulse_off_80pct,0.8,0.1,2.23016e15,104,linear,-3.968253968253968e13,6.357142857142857e15,4e14,870.6,73,-5.147058823529412,1246.3235294117646,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 8b
8b,pulse_off_80pct,0.8,0.5,2.03175e15,109,linear,-3.968253968253968e13,6.357142857142857e15,4e14,844.9,78,-5.147058823529412,1246.3235294117646,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 8b
8b,pulse_off_80pct,0.8,1,2.23016e15,104,linear,-3.968253968253968e13,6.357142857142857e15,4e14,819.1,83,-5.147058823529412,1246.3235294117646,20,not_specified,diagnostic_digitized,physical_boundary_input,Jeong et al. 2022 Fig. 8b
