run,source_region,target_region,particle_rate_s,source_fraction
energy_3eV,top,top,0.0,0.0
energy_3eV,top,upper_wall,0.0,0.0
energy_3eV,top,lower_wall,0.0,0.0
energy_3eV,top,floor,0.0,0.0
energy_3eV,top,escape,36089507.7091186,1.0
energy_3eV,upper_wall,top,0.0,0.0
energy_3eV,upper_wall,upper_wall,576351.5076540655,0.1641540080952246
energy_3eV,upper_wall,lower_wall,653838.7660745566,0.18622360256511308
energy_3eV,upper_wall,floor,2174128.802573385,0.619226205393921
energy_3eV,upper_wall,escape,106722.25824602222,0.030396183945741093
energy_3eV,lower_wall,top,0.0,0.0
energy_3eV,lower_wall,upper_wall,158422.98608539422,0.027623963944157785
energy_3eV,lower_wall,lower_wall,5220316.848127172,0.9102583403649115
energy_3eV,lower_wall,floor,356243.9793215235,0.06211769569093064
energy_3eV,lower_wall,escape,0.0,0.0
energy_3eV,floor,top,0.0,0.0
energy_3eV,floor,upper_wall,3170861.9457923537,0.2932946403035988
energy_3eV,floor,lower_wall,6911704.942700453,0.6393107141557925
energy_3eV,floor,floor,728615.8269843373,0.06739464554060867
energy_3eV,floor,escape,0.0,0.0
