region,target_local_voltage_v,coordinate_shift_v,local_voltage_v,barrier_factor,kinetic_flux,kinetic_stderr,analytic_flux,kinetic_dJ_dV,analytic_dJ_dV
top,-12.0,-3.2542994406807586,-11.999999999999988,0.05375713936802816,1.0295422593070342,0.0001459461739373759,0.06634902613050793,0.0007211627116584538,0.028540885583836047
top,-8.0,-2.652418139161594,-7.999999999999998,0.14625443456565823,1.032426910153668,0.00015086783678528142,0.1805125684658518,0.0007210790362230934,0.053096730331134684
top,-4.0,-2.0505368376424293,-3.9999999999999987,0.3979163228692873,1.0353108915968192,0.0001586726744708068,0.49112286877958533,0.0007157204894327474,0.13220777296587083
top,-2.0,-1.7495961868828471,-1.9999999999999898,0.6563519884672029,1.03673705770433,0.00015928418309486974,0.8100936125987662,0.0007014993969549077,0.14386164098983106
top,0.0,-1.4486555361232647,1.0080825063596421e-14,0.8641531757925961,1.0381168891846388,0.0001702181217121103,1.066569432738911,0.0007144713702513239,0.09236246819407656
top,2.0,-1.1477148853636825,2.000000000000003,0.9556867256684786,1.0395949431853353,0.00017011510645349305,1.1795434853750724,0.0007486662255063448,0.041916778845770386
top,4.0,-0.8467742346041002,4.000000000000009,1.0,1.0411115540866644,0.00014915462013257713,1.2342365481219923,0.0007480679601654661,0.01823102091563983
top,8.0,-0.2448929330849356,7.999999999999995,1.0,1.0440219260033343,0.00019673790436323553,1.2342365481219923,0.0007275929791674711,0.0
upper_wall,-12.0,-2.5559918082878594,-11.999999999999986,0.26647050230402325,0.08994678987539376,0.0009879397219469508,0.03980444536925758,0.0006712771163786269,0.005278046620298682
upper_wall,-8.0,-2.1487785350127044,-7.999999999999986,0.40780584523346297,0.09263189834090826,0.000783323521054114,0.060916631850452305,0.000439358315113849,0.004934318122199196
upper_wall,-4.0,-1.7415652617375499,-3.999999999999975,0.5307324893967057,0.09346165639630455,0.000871322660085331,0.0792789903468512,0.00034301422118959354,0.003917862393922767
upper_wall,-2.0,-1.5379586250999724,-1.999999999999984,0.5786851122630103,0.09428325954602426,0.0009503382494390536,0.08644198790451976,0.0005172857790965261,0.0038081785411676096
upper_wall,0.0,-1.3343519884623951,7.993605777301127e-15,0.6327077576678293,0.09553079951269064,0.0010542291344208048,0.09451170451152156,0.0005298031885701097,0.004190702079299783
upper_wall,2.0,-1.1307453518248178,2.0000000000000098,0.6909035821065814,0.0964024723003047,0.0009603114690241589,0.10320479622171887,0.0005922920674607188,0.003906917346055441
upper_wall,4.0,-0.9271387151872403,4.000000000000011,0.737327050111759,0.09789996778253351,0.0008919352212829216,0.11013937389574334,0.0006719505434789712,0.0039000395858203307
upper_wall,8.0,-0.5199254419120857,7.999999999999998,0.8649385381727943,0.0999733923753659,0.0008141249959403446,0.12920153822948938,0.0005183561482080978,0.004765541083436524
lower_wall,-12.0,-6.306704280708747,-12.000000000000032,0.28819149552573725,0.019692095350362426,0.0007690124934669521,0.010699045491959401,0.00028585708836057166,0.0005752361605503327
lower_wall,-8.0,-5.688296495048727,-8.000000000000028,0.35017017185310495,0.020835523703804714,0.000705290158038937,0.012999990134160734,0.000337505997733203,0.0007592987543433797
lower_wall,-4.0,-5.069888709388707,-4.00000000000003,0.45181240449710236,0.02239214333222805,0.0008284137076188702,0.01677343552670644,0.00024893955320448493,0.0009805204292186965
lower_wall,-2.0,-4.760684816558697,-2.0000000000000235,0.5056362927460484,0.022749807084735674,0.0009249616412483263,0.01877163546622611,0.00026025620938061825,0.0012497152510558265
lower_wall,0.0,-4.4514809237286865,-2.0872192862952943e-14,0.5864626618322146,0.023433168169750523,0.0010163880811643324,0.021772296530929755,0.0003972979769639694,0.0013563388160497255
lower_wall,2.0,-4.1422770308986765,1.99999999999998,0.651774679438857,0.02433899899259155,0.0011087091431007438,0.024196990730425017,0.00039217292215916726,0.0015599906618599868
lower_wall,4.0,-3.833073138068667,3.999999999999975,0.7545434657452295,0.02500185985838719,0.0011626759894742993,0.028012259178369688,0.0003539861409958011,0.001907441947539409
lower_wall,8.0,-3.2146653524086464,7.999999999999982,0.9600188880293663,0.026598250087154256,0.0014204845407913016,0.035640488757063896,0.00039909755719176615,0.0019070573946735484
floor,-12.0,-22.579236482930604,-11.999999999999957,0.053228610431161005,0.12687270203035905,0.001317817843947807,0.009589874814713803,0.0015084015008239352,0.00401181570402474
floor,-8.0,-20.684099429149022,-7.99999999999997,0.1422989598807723,0.13290630803365477,0.0021931526592307115,0.025637137630812715,0.001752982117530829,0.007388186407785857
floor,-4.0,-18.788962375367436,-3.9999999999999707,0.38129370299270016,0.14089655897060566,0.0022029001533855398,0.06869536607700064,0.002059176846437853,0.018206021361029303
floor,-2.0,-17.841393848476642,-1.9999999999999662,0.6247026404114546,0.1450765267756815,0.003959001132117392,0.11254887304854168,0.0020624262039384764,0.023483557978212485
floor,0.0,-16.89382532158585,2.856048730848215e-14,0.9026757578416231,0.14914626378635956,0.003704426442862133,0.1626295979898505,0.0019315667492606145,0.016903760344267025
floor,2.0,-15.946256794695058,2.0000000000000293,1.0,0.15280279377272396,0.0029809703798562488,0.1801639144256096,0.0024275209828068453,0.004383579108939772
floor,4.0,-14.998688267804265,4.000000000000028,1.0,0.15885634771758694,0.0027452563091588133,0.1801639144256096,0.0030837070086999954,1.734723475976807e-18
floor,8.0,-13.103551214022682,8.000000000000023,1.0,0.1716466160425349,0.0040678369785648195,0.1801639144256096,0.003197567081236992,0.0
