dx_um,basis,active_count,rms_relative_imbalance,maximum_relative_imbalance,throughput_weighted_rms_relative_imbalance,global_relative_imbalance
0.25,raw-face,40,0.42732830633184077,0.8825633862765121,0.19358775928574612,0.03861766309810326
0.25,compatible-node,42,0.20643252042952787,0.522527014595328,0.10546207057965441,0.03861766309810334
0.25,patch-0.25um,12,0.38560214821576755,0.7117563863441686,0.17797092735272896,0.03861766309810326
0.25,patch-0.5um,8,0.16197668154617204,0.2958264875165497,0.10939077404879845,0.03861766309810326
0.25,patch-1um,6,0.1853194514638416,0.2958264875165497,0.10820140126307105,0.03861766309810319
0.125,raw-face,176,0.4632064278717124,1.0,0.2522300812886495,0.037808076000231804
0.125,compatible-node,135,0.3439838545788845,0.800016044364438,0.17637283540861623,0.037808076000231644
0.125,patch-0.25um,12,0.4072049113392975,0.6641590729884395,0.18718071426494112,0.0378080760002318
0.125,patch-0.5um,8,0.17349949291622294,0.2801775214644754,0.11806025788189964,0.037808076000231804
0.125,patch-1um,6,0.20013935999224228,0.2801775214644754,0.11794933607778307,0.03780807600023172
