dx_um,patch_width_um,patch,positive_current_a,negative_current_a,signed_relative_imbalance,net_current_stderr_a,relative_two_sigma_half_width,resolved_outside_contract
0.25,0.25,floor:0.250-0.500um,1.4543195129912121e-11,1.4761831134263036e-11,-0.00746069982602927,7.587202735697326e-13,0.051780897019515985,False
0.25,0.25,floor:0.500-0.750um,1.3682651039384775e-11,1.3344526774848186e-11,0.01251052799003408,1.5132505140588886e-12,0.11197991329024266,False
0.25,0.25,left-wall:0.500-0.750um,2.2804418398974567e-11,1.6226507253885678e-11,0.1685307492728359,1.2858151746985833e-12,0.06588699361806485,True
0.25,0.25,left-wall:0.750-1.000um,2.635638927587494e-12,1.4624153933326875e-12,0.28628794114944034,3.294319946809539e-13,0.160774830630836,True
0.25,0.25,left-wall:1.000-1.250um,3.0119043168457034e-12,8.805946996723773e-13,0.5475427503331332,3.6141374424074914e-14,0.01856975391423688,True
0.25,0.25,left-wall:1.250-1.500um,1.0326529086328124e-12,5.189853838401997e-12,-0.6680910280652089,9.743495432077328e-15,0.0031316946138211462,True
0.25,0.25,right-wall:0.500-0.750um,2.357890808044917e-11,1.7519926674404913e-11,0.14742465187114934,1.0298591339372696e-12,0.05011622057317017,True
0.25,0.25,right-wall:0.750-1.000um,3.0979587258984376e-12,1.0449345555565658e-12,0.49555323559308295,2.909814057029381e-13,0.14047255670594733,True
0.25,0.25,right-wall:1.000-1.250um,2.6676866806347657e-12,9.288085327369328e-13,0.4834924126779644,2.7176656224319124e-14,0.01511285549513696,True
0.25,0.25,right-wall:1.250-1.500um,8.605440905273437e-13,5.365926117871406e-12,-0.7235852540122734,1.9509488125291e-14,0.00626662859447238,True
0.25,0.25,top:0.000-0.250um,4.354353098068366e-11,4.2501793063996886e-11,0.012106850991064127,1.524205851900746e-14,0.00035427976332781907,False
0.25,0.25,top:0.750-1.000um,4.431802066215828e-11,4.335909433352019e-11,0.010937019639450377,6.678602380584941e-15,0.0001523453955097433,False
0.25,0.5,floor:0.000-0.500um,1.4543195129912121e-11,1.4761831134263036e-11,-0.00746069982602927,7.587202735697326e-13,0.051780897019515985,False
0.25,0.5,floor:0.500-1.000um,1.3682651039384775e-11,1.3344526774848186e-11,0.01251052799003408,1.5132505140588886e-12,0.11197991329024266,False
0.25,0.5,left-wall:0.500-1.000um,2.5440057326562058e-11,1.7688922647218365e-11,0.17971987012110818,1.1641859082453797e-12,0.0539862481771249,True
0.25,0.5,left-wall:1.000-1.500um,4.044557225478515e-12,6.070448538074374e-12,-0.2002857299296551,3.5791971336530034e-14,0.007077004635132927,True
0.25,0.5,right-wall:0.500-1.000um,2.667686680634761e-11,1.856486122996148e-11,0.17930361921356713,8.606214696763899e-13,0.03804547293090537,True
0.25,0.5,right-wall:1.000-1.500um,3.528230771162109e-12,6.294734650608339e-12,-0.281636324741089,2.2284109287360065e-14,0.00453714501284352,True
0.25,0.5,top:0.000-0.500um,4.354353098068366e-11,4.2501793063996886e-11,0.012106850991064127,1.524205851900746e-14,0.00035427976332781907,False
0.25,0.5,top:0.500-1.000um,4.431802066215828e-11,4.335909433352019e-11,0.010937019639450377,6.678602380584941e-15,0.0001523453955097433,False
0.25,1.0,floor:0.000-1.000um,2.82258461692969e-11,2.810635790911122e-11,0.002121135896251525,2.269573156739632e-12,0.0805781770434773,False
0.25,1.0,left-wall:0.000-1.000um,2.5440057326562058e-11,1.7688922647218365e-11,0.17971987012110818,1.1641859082453797e-12,0.0539862481771249,True
0.25,1.0,left-wall:1.000-2.000um,4.044557225478515e-12,6.070448538074374e-12,-0.2002857299296551,3.5791971336530034e-14,0.007077004635132927,True
0.25,1.0,right-wall:0.000-1.000um,2.667686680634761e-11,1.856486122996148e-11,0.17930361921356713,8.606214696763899e-13,0.03804547293090537,True
0.25,1.0,right-wall:1.000-2.000um,3.528230771162109e-12,6.294734650608339e-12,-0.281636324741089,2.2284109287360065e-14,0.00453714501284352,True
0.25,1.0,top:0.000-1.000um,8.786155164284194e-11,8.586088739751708e-11,0.011516441148170117,2.1611682361809873e-14,0.00024880703357830553,False
0.125,0.25,floor:0.250-0.500um,2.4009180125712898e-11,2.3651474887943512e-11,0.007505252239334337,1.3518074254693888e-12,0.05672634692418935,False
0.125,0.25,floor:0.500-0.750um,2.383707130760743e-11,2.3617116089634633e-11,0.004635106616230453,1.825552735083409e-12,0.07693958469045478,False
0.125,0.25,left-wall:0.500-0.750um,1.3621007783039134e-11,8.564904777023356e-12,0.2278970041159099,3.6992048067750123e-13,0.03334733062487643,True
0.125,0.25,left-wall:0.750-1.000um,3.3960478428234354e-12,1.1849530093065667e-12,0.4826663222489445,1.7728539151180404e-13,0.07740028750676729,True
0.125,0.25,left-wall:1.000-1.250um,2.971632777265025e-12,9.102799735569045e-13,0.531014717750074,6.459349179722932e-14,0.03327920844359664,True
0.125,0.25,left-wall:1.250-1.500um,1.0986036808702662e-12,5.230592905909877e-12,-0.6528457709261454,3.4134651438733354e-15,0.0010786408976466537,True
0.125,0.25,right-wall:0.500-0.750um,1.3424487812226561e-11,8.438293607774986e-12,0.2280676968160084,4.949106483905285e-13,0.04527426212455756,True
0.125,0.25,right-wall:0.750-1.000um,3.0979587258984372e-12,1.097296150644736e-12,0.47688701500353586,2.658555434223519e-13,0.1267410687769287,True
0.125,0.25,right-wall:1.000-1.250um,3.3013641466050468e-12,9.31752210633777e-13,0.5597795420669514,5.823790890943931e-14,0.027515382991941534,True
0.125,0.25,right-wall:1.250-1.500um,1.1637431199467884e-12,5.414913546380269e-12,-0.646206458560629,1.181054078407809e-14,0.0035905630535578797,True
0.125,0.25,top:0.000-0.250um,4.3543530980683615e-11,4.251125999341499e-11,0.011995508624026818,1.5865465480743115e-14,0.00036872939440451186,False
0.125,0.25,top:0.750-1.000um,4.431802066215822e-11,4.327631865906108e-11,0.011892343856571435,4.170855857532865e-15,9.523117338068661e-05,False
0.125,0.5,floor:0.000-0.500um,2.4009180125712898e-11,2.3651474887943512e-11,0.007505252239334337,1.3518074254693888e-12,0.05672634692418935,False
0.125,0.5,floor:0.500-1.000um,2.383707130760743e-11,2.3617116089634633e-11,0.004635106616230453,1.825552735083409e-12,0.07693958469045478,False
0.125,0.5,left-wall:0.500-1.000um,1.7017055625862567e-11,9.74985778632992e-12,0.27149928449435623,3.743770649614191e-13,0.02797312183114009,True
0.125,0.5,left-wall:1.000-1.500um,4.07023645813529e-12,6.1408728794667825e-12,-0.20278270977928345,6.276706992325068e-14,0.01229387872522587,True
0.125,0.5,right-wall:0.500-1.000um,1.6522446538125e-11,9.535589758419723e-12,0.26812675752668774,5.085796272085338e-13,0.03903437860173455,True
0.125,0.5,right-wall:1.000-1.500um,4.4651072665518346e-12,6.346665757014046e-12,-0.1740286710016084,5.5364992615346665e-14,0.01024161208243465,True
0.125,0.5,top:0.000-0.500um,4.3543530980683615e-11,4.251125999341499e-11,0.011995508624026818,1.5865465480743115e-14,0.00036872939440451186,False
0.125,0.5,top:0.500-1.000um,4.431802066215822e-11,4.327631865906108e-11,0.011892343856571435,4.170855857532865e-15,9.523117338068661e-05,False
0.125,1.0,floor:0.000-1.000um,4.784625143332032e-11,4.726859097757815e-11,0.00607329456791467,2.6216994761229196e-12,0.055127031905222806,False
0.125,1.0,left-wall:0.000-1.000um,1.7017055625862567e-11,9.74985778632992e-12,0.27149928449435623,3.743770649614191e-13,0.02797312183114009,True
0.125,1.0,left-wall:1.000-2.000um,4.07023645813529e-12,6.1408728794667825e-12,-0.20278270977928345,6.276706992325068e-14,0.01229387872522587,True
0.125,1.0,right-wall:0.000-1.000um,1.6522446538125e-11,9.535589758419723e-12,0.26812675752668774,5.085796272085338e-13,0.03903437860173455,True
0.125,1.0,right-wall:1.000-2.000um,4.4651072665518346e-12,6.346665757014046e-12,-0.1740286710016084,5.5364992615346665e-14,0.01024161208243465,True
0.125,1.0,top:0.000-1.000um,8.786155164284183e-11,8.578757865247609e-11,0.011943468918264174,1.9277169923815647e-14,0.0002220243762929507,False
